year,agricultura,industria,construccion,servicios,total
1887,3.8844429430923,0.781909667393905,0.276129984490807,1.23697139811869,6.17945399309571
1888,3.8869218582114,0.784516807619164,0.277048390524229,1.24989185827507,6.19837891462986
1889,3.88755210826837,0.786758190095166,0.277837616742361,1.26234647275178,6.21449438785768
1890,3.8814293717886,0.787635611713035,0.27814516152383,1.27271087119318,6.21992101621865
1891,3.87978807424824,0.789423892104457,0.278774358620772,1.28464102713158,6.23262735210505
1892,3.88460323710844,0.792533332451231,0.279870091123002,1.29884154025484,6.25584820093751
1893,3.89263577682978,0.796311973017441,0.281202120477927,1.31428330258074,6.28443317290589
1894,3.89968908685352,0.799904362795653,0.282468357384069,1.32956912627997,6.31163093331321
1895,3.90854418211954,0.803880908369358,0.283870228150692,1.34564865786002,6.34194397649961
1896,3.92187276153084,0.808795628487082,0.285603365494227,1.36347090450991,6.37974266002206
1897,3.94540024631806,0.8158399529956,0.288088477515369,1.38509372200919,6.43442239883822
1898,3.97916180910515,0.825038297531211,0.291334167029164,1.4106374564098,6.50617173007533
1899,4.01338093033766,0.834375413495354,0.294628804609503,1.43671264025057,6.57909778869308
1900,4.03883611829048,0.841929939404757,0.297293936954945,1.45999537346142,6.6380553681116
1901,4.05454484732278,0.854755841282059,0.299116273340416,1.48537567468338,6.69379263662863
1902,4.07319615938575,0.868391454814729,0.301162830625968,1.51226699968519,6.75501744451164
1903,4.09927478041365,0.883827464851162,0.303767416430015,1.54240750945883,6.82927717115366
1904,4.11743535553733,0.897774981321768,0.305794069234723,1.57006575207771,6.89107015817153
1905,4.1330246341741,0.911357873138749,0.307636863296606,1.59719519706885,6.9492145676783
1906,4.12160438411922,0.919110031124366,0.307471450071527,1.61419224212615,6.96237810744126
1907,4.12413964536445,0.930068234475958,0.308347170115248,1.63689667088468,6.99945172084033
1908,4.12979961986683,0.941869375443245,0.309459412469875,1.66117671089363,7.04230511867358
1909,4.13657636915988,0.954076040499128,0.310658953788559,1.68626898102769,7.08758034447526
1910,4.14190351679895,0.966100190624447,0.31175319906863,1.71113680757671,7.13089371406874
1911,4.13201544562539,0.990781288637136,0.313725293988093,1.71532759128182,7.15184961953243
1912,4.12445915387495,1.01666187319852,0.315886643845884,1.72049147833686,7.17749914925622
1913,4.12089196593887,1.04422582403754,0.318370004711605,1.72733721490278,7.21082500959079
1914,4.13342459222072,1.07673018759445,0.322127344002746,1.74099010004658,7.2732722238645
1915,4.1593497576289,1.11382248760063,0.326978857690599,1.76040302372712,7.36055412664725
1916,4.17667430502014,1.14978018800259,0.331208519447372,1.77630548429097,7.43396849676108
1917,4.18056680635924,1.1830771011855,0.334412663398871,1.78658052645182,7.48463709739543
1918,4.15942062088425,1.21005299598782,0.335627119312441,1.78616119669698,7.49126193288148
1919,4.13834633412917,1.23763349464927,0.336843131670498,1.78572683536517,7.49854979581411
1920,4.13346318605403,1.27078758982221,0.339384180451162,1.79226674815345,7.53590170448085
1921,4.10447084961916,1.29788088719824,0.351448669499734,1.85479010260171,7.60859050891884
1922,4.07726524983081,1.32606678644281,0.364083418874152,1.92024030318986,7.68765575833763
1923,4.04169524230372,1.35200645579185,0.376376678307167,1.98380599715812,7.75388437356086
1924,4.00380818734759,1.3775495714065,0.388829863006547,2.04813189037429,7.81831951213492
1925,3.97102688255742,1.40525639451667,0.402176215575843,2.11707627053105,7.89553576318098
1926,3.94609491938379,1.43627976205696,0.416781363030606,2.19255363268881,7.99170967716017
