Year,Agricultura,Industria,Construccion,Servicios
1889,62.5562091722884,12.6600515020561,4.47080002655116,20.3129392991044
1890,62.4031938937431,12.6631127575294,4.47184394783402,20.4618494008935
1891,62.249639759673,12.665988956292,4.47282250119794,20.6115487828371
1892,62.0955482347908,12.6686790822779,4.47373532946436,20.7620373534669
1893,61.9409208393228,12.6711821274604,4.47458207830541,20.9133149549114
1894,61.7857591493619,12.6734970920702,4.47536239632108,21.0653813622468
1895,61.6300647972111,12.6756229848163,4.47607593511685,21.2182362828557
1896,61.4738394717207,12.677558823106,4.4767223493814,21.371879355792
1897,61.3170849186156,12.6793036332664,4.47730129696468,21.5263101511533
1898,61.159802940816,12.6808564507666,4.47781243895619,21.6815281694612
1899,61.0019953987476,12.6822163204402,4.47825543976342,21.8375328410488
1900,60.8436642106444,12.6833822967082,4.47862996719052,21.9943235254568
1901,60.571712740789,12.7693803450798,4.4685619883658,22.1903449257654
1902,60.2988251746881,12.8555027717994,4.45835755569601,22.3873144978165
1903,60.0250169626834,12.9417424816843,4.44801710074245,22.5852234548898
1904,59.7503038139122,13.0280923095403,4.43754108165781,22.7840627948898
1905,59.4747016935889,13.114545021787,4.42692998324538,22.9838233013787
1906,59.1982268201453,13.2010933181299,4.41618431700667,23.1844955447181
1907,58.9208956622294,13.2877298332775,4.40530462117723,23.3860698833159
1908,58.6427249355631,13.374447138704,4.39429146075059,23.5885364649823
1909,58.3637315996611,13.4612377444557,4.38314542749017,23.791885228393
1910,58.0839328544089,13.5480941010017,4.37186713992895,23.9961059046605
1911,57.7754799868894,13.8534972258255,4.38663158032962,23.9843912069555
1912,57.4637358794024,14.1645697485576,4.40106835649878,23.9706260155412
1913,57.1486890953235,14.4813640970161,4.4151675333704,23.9547792742901
1914,56.8303298020174,14.8039308093208,4.42891911766765,23.9368202709941
1915,56.5086498388878,15.1323184156514,4.44231306589872,23.916718679562
1916,56.1836427856788,15.4665733181886,4.45533929275699,23.8944446033756
1917,55.8553040308932,15.8067396694116,4.46798767992697,23.8699686197683
1918,55.5236308401827,16.1528592489406,4.48024808529614,23.8432618255806
1919,55.1886224245561,16.5049713391268,4.49211035257154,23.8142958837456
1920,54.8502800082473,16.8631125996056,4.50356432129899,23.783043070848
1921,53.9452194832652,17.0580988118214,4.61910348687794,24.3775782180355
1922,53.036522159682,17.2492997622146,4.73594851693621,24.9782295611672
1923,52.1247809173563,17.4365052489293,4.85404037736922,25.5846734563452
1924,51.2105981487866,17.619509784275,4.97331763434635,26.196574432592
1925,50.2945842013076,17.7981132207615,5.09371659680524,26.8135859811256
1926,49.377355769836,17.9721213617377,5.21517146977626,27.43535139865
1927,48.459534248976,18.1413465528847,5.33761451776823,28.061504680371
1928,47.5417440537162,18.3056082509152,5.46097623735941,28.6916714580092
1929,46.6246109182833,18.464733565974,5.5851855380575,29.3254699776853
1930,45.708760182962,18.6185577744122,5.71016993042122,29.9625121122047
1931,44.7948150788336,18.7669247988221,5.83585572037386,30.6024044019705
1932,43.8833950204341,18.9096876524626,5.96216820858835,31.244749118515
1933,42.9751139162777,19.0467088454812,6.08903189378251,31.8891453444586
1934,42.0705785070401,19.1778607506388,6.21637067873481,32.5351900635864
1935,41.1703867409444,19.3030259265652,6.34410807781408,33.1824792546763
1936,43.0111431797743,18.3472603764603,6.21442029783008,32.4271761459354
1937,44.8671388964086,17.4127917512666,6.0782984883834,31.6417708639414
1938,46.7332693964448,16.50121739549,5.93627241151978,30.8292407965454
1939,48.6043424704839,15.6140183265589,5.78890923303606,29.9927299699211
1940,50.4751357545258,14.7525433487246,5.63680711309695,29.1355137836526
1941,50.2138702266893,15.0017109057786,5.7851964995681,28.999222367964
1942,49.9489098809622,15.253545537122,5.93689234625027,28.8606522356655
1943,49.6802477177428,15.5080157591178,6.09194050059489,28.7197960225445
1944,49.407878851471,15.7650874018045,6.25038617100612,28.5766475757184
1945,49.1318005837579,16.0247235584163,6.41227385882408,28.4312019990018
1946,48.8520124757561,16.2868845374713,6.57764728880627,28.2834556979664
1947,48.5685164195724,16.5515278176526,6.74654933819906,28.1334064245759
1948,48.2813167085146,16.8186080057107,6.9190219644993,27.9810533212753
1949,47.9904201059598,17.088076797616,7.09510613201597,27.8263969644082
1950,47.695835912625,17.3598829431927,7.27484173735034,27.6694394068319
1951,46.57597398356,17.6902623442548,7.29669618136921,28.437067490816
1952,45.4578842875221,18.0172102671926,7.31467053773172,29.2102349075535
1953,44.3427127578262,18.3403063941251,7.328735403517,29.9882454445317
1954,43.2315965079291,18.659139105074,7.3388716200701,30.7703927669268
1955,42.3103053217875,19.1130056398324,7.52095639336975,31.0557326450104
1956,41.2857580981995,19.6254991063468,7.7261605094771,31.3625822859766
1957,40.2787412003657,20.0434203291269,7.89415542703121,31.7836830434762
1958,39.1219572026963,20.5389566108218,8.09275374142105,32.2463324450608
1959,39.1195135694908,20.7862541465426,8.19352003208044,31.9007122518862
1960,38.9937422587009,20.7480861540379,8.18179643085757,32.0763751564036
1961,37.7562694779899,21.0974138256673,8.32297329899793,32.8233433973449
1962,36.3704704273832,21.7175438806631,8.57102533288542,33.3409603590683
1963,34.9802604809214,22.200752808018,8.76505847152158,34.053928239539
1964,32.8228804450694,23.1278573842394,9.13442507199582,34.9148370986954
1965,32.6513009512327,22.0855009566101,9.37663191048931,35.8865661816679
1966,32.6722412696468,22.1751649650256,9.72485368939339,35.4277400759341
1967,31.2384645024799,22.4170688800428,9.99308541399312,36.3513812034841
1968,30.3460914883301,22.3345209947773,10.176559042055,37.1428284748376
